Id;Provinsi;Kabupaten/Kota;Jenis Ikan;Tahun;Volume Produksi;Nilai Produksi;Harga Lele
;JAWA TIMUR;PACITAN;LELE;2019;462691;6940365000;15000
;JAWA TIMUR;PAMEKASAN;LELE;2019;634250;11122265066;17536.08997
;JAWA TIMUR;PASURUAN;LELE;2019;3191989;48646002397;15240.02821
;JAWA TIMUR;PONOROGO;LELE;2019;1653558;26491667800;16021.00912
;JAWA TIMUR;PROBOLINGGO;LELE;2019;758630;11758765000;15500
;JAWA TIMUR;SAMPANG;LELE;2019;100722;1712274000;17000
;JAWA TIMUR;SIDOARJO;LELE;2019;20394400;326310400000;16000
;JAWA TIMUR;SITUBONDO;LELE;2019;185865;3102332000;16691.31897
;JAWA TIMUR;SUMENEP;LELE;2019;170428;2834916000;16634.09768
;JAWA TIMUR;TRENGGALEK;LELE;2019;4053426;61868890760;15263.35765
;JAWA TIMUR;TUBAN;LELE;2019;2010670;34181390000;17000
;JAWA TIMUR;TULUNGAGUNG;LELE;2019;10006869;153563838948;15345.84284
;JAWA BARAT;BANDUNG;LELE;2020;6286498;100583968000;16000
;JAWA BARAT;BANDUNG BARAT;LELE;2020;1892735;28391025000;15000
;JAWA BARAT;BEKASI;LELE;2020;2064987;35980966000;17424.3063
;JAWA BARAT;BOGOR;LELE;2020;85404120;1621387862000;18984.89045
;JAWA BARAT;CIAMIS;LELE;2020;4341100;56434300000;13000
;JAWA BARAT;CIANJUR;LELE;2020;12340000;197440000000;16000
;JAWA BARAT;CIREBON;LELE;2020;9039930;180798600000;20000
;JAWA BARAT;GARUT;LELE;2020;2919150;49625550000;17000
;JAWA BARAT;INDRAMAYU;LELE;2020;89693625;1435098000000;16000
;JAWA BARAT;KARAWANG;LELE;2020;766390;9196680000;12000
;JAWA BARAT;KOTA BANDUNG;LELE;2020;74448;1303626222;17510.56069
;JAWA BARAT;KOTA BANJAR;LELE;2020;300470;4507050000;15000
;JAWA BARAT;KOTA BEKASI;LELE;2020;1309069;23563242000;18000
;JAWA BARAT;KOTA BOGOR;LELE;2020;2431756;41339852000;17000
;JAWA BARAT;KOTA CIMAHI;LELE;2020;190774;3433932000;18000
;JAWA BARAT;KOTA CIREBON;LELE;2020;83928;1302091860;15514.39162
;JAWA BARAT;KOTA DEPOK;LELE;2020;94180;2391380000;25391.59057
;JAWA BARAT;KOTA SUKABUMI;LELE;2020;656683;13133660000;20000
;JAWA BARAT;KOTA TASIKMALAYA;LELE;2020;1479486;17753832000;12000
;JAWA BARAT;KUNINGAN;LELE;2020;4301076;73118292000;17000
;JAWA BARAT;MAJALENGKA;LELE;2020;2265630;38515710000;17000
;JAWA BARAT;PANGANDARAN;LELE;2020;28459;421757800;14819.83907
;JAWA BARAT;PURWAKARTA;LELE;2020;600780;9300070000;15479.99268
;JAWA BARAT;SUBANG;LELE;2020;1838154;39977700000;21748.83062
;JAWA BARAT;SUKABUMI;LELE;2020;11803687;212466366000;18000
;JAWA BARAT;SUMEDANG;LELE;2020;680731;12105901272;17783.67853
;JAWA BARAT;TASIKMALAYA;LELE;2020;4130000;55440000000;13423.72881
;JAWA TENGAH;BANJARNEGARA;LELE;2020;12847649;192714735000;15000
;JAWA TENGAH;BANYUMAS;LELE;2020;3566103;64519095000;18092.32515
;JAWA TENGAH;BATANG;LELE;2020;1206455;18096825000;15000
;JAWA TENGAH;BLORA;LELE;2020;257263;4373471000;17000
;JAWA TENGAH;BOYOLALI;LELE;2020;25409161;406546576000;16000
;JAWA TENGAH;BREBES;LELE;2020;1746154;31430772000;18000
;JAWA TENGAH;CILACAP;LELE;2020;2626922;42931381500;16342.84592
;JAWA TENGAH;DEMAK;LELE;2020;25989186;415826976000;16000
;JAWA TENGAH;GROBOGAN;LELE;2020;2331206;38464899000;16500
;JAWA TENGAH;JEPARA;LELE;2020;7021765;119370005000;17000
;JAWA TENGAH;KARANGANYAR;LELE;2020;1568780;24707932500;15749.7753
;JAWA TENGAH;KEBUMEN;LELE;2020;1021538;16910492000;16553.95296
;JAWA TENGAH;KENDAL;LELE;2020;2442900;39300800400;16087.76471
;JAWA TENGAH;KLATEN;LELE;2020;8524473;136391568000;16000
;JAWA TENGAH;KOTA MAGELANG;LELE;2020;47060;776490000;16500
;JAWA TENGAH;KOTA PEKALONGAN;LELE;2020;91403;1645254000;18000
;JAWA TENGAH;KOTA SALATIGA;LELE;2020;710988;11375808000;16000
;JAWA TENGAH;KOTA SEMARANG;LELE;2020;145877;2506952500;17185.38563
;JAWA TENGAH;KOTA SURAKARTA;LELE;2020;34873;557968000;16000
;JAWA TENGAH;KOTA TEGAL;LELE;2020;16365;278205000;17000
;JAWA TENGAH;KUDUS;LELE;2020;1374073;22803286100;16595.39639
;JAWA TENGAH;MAGELANG;LELE;2020;4997570;79961120000;16000
;JAWA TENGAH;PATI;LELE;2020;11578586;202625255000;17500
;JAWA TENGAH;PEKALONGAN;LELE;2020;915593;15565081000;17000
;JAWA TENGAH;PEMALANG;LELE;2020;1811400;30301550000;16728.24887
;JAWA TENGAH;PURBALINGGA;LELE;2020;2300832;35662896000;15500
;JAWA TENGAH;PURWOREJO;LELE;2020;510066;8543117784;16749.04382
;JAWA TENGAH;REMBANG;LELE;2020;978759;17617662000;18000
;JAWA TENGAH;SEMARANG;LELE;2020;2581851;46473318000;18000
;JAWA TENGAH;SRAGEN;LELE;2020;6659750;106556000000;16000
;JAWA TENGAH;SUKOHARJO;LELE;2020;10933020;174928320000;16000
;JAWA TENGAH;TEGAL;LELE;2020;878032;14926544000;17000
;JAWA TENGAH;TEMANGGUNG;LELE;2020;4505940;76600980000;17000
;JAWA TENGAH;WONOGIRI;LELE;2020;520511;8328176000;16000
;JAWA TENGAH;WONOSOBO;LELE;2020;4033138;52430794000;13000
;JAWA TIMUR;BANGKALAN;LELE;2020;413270;7025590000;17000
;JAWA TIMUR;BANYUWANGI;LELE;2020;4569227;68538405000;15000
;JAWA TIMUR;BLITAR;LELE;2020;9943300;129262900000;13000
;JAWA TIMUR;BOJONEGORO;LELE;2020;2845533;45528528000;16000
;JAWA TIMUR;BONDOWOSO;LELE;2020;685612;15083464000;22000
;JAWA TIMUR;GRESIK;LELE;2020;1219956;16601245000;13608.06865
;JAWA TIMUR;JEMBER;LELE;2020;7525300;112879500000;15000
;JAWA TIMUR;JOMBANG;LELE;2020;7292800;114976300000;15765.72784
;JAWA TIMUR;KEDIRI;LELE;2020;15948100;217706800000;13650.95529
;JAWA TIMUR;KOTA BATU;LELE;2020;21664;368288000;17000
;JAWA TIMUR;KOTA BLITAR;LELE;2020;96026;1440390000;15000
;JAWA TIMUR;KOTA KEDIRI;LELE;2020;122650;1904675002;15529.35183
;JAWA TIMUR;KOTA MADIUN;LELE;2020;168900;2702400000;16000
;JAWA TIMUR;KOTA MALANG;LELE;2020;112130;1870670000;16683.04646
;JAWA TIMUR;KOTA MOJOKERTO;LELE;2020;196300;3140800000;16000
;JAWA TIMUR;KOTA PASURUAN;LELE;2020;241518;3622770000;15000
;JAWA TIMUR;KOTA PROBOLINGGO;LELE;2020;143870;2173654996;15108.46595
;JAWA TIMUR;KOTA SURABAYA;LELE;2020;718649;12935682000;18000
;JAWA TIMUR;LAMONGAN;LELE;2020;2242144;34365503000;15327.07221
;JAWA TIMUR;LUMAJANG;LELE;2020;907576;13386865000;14750.13112
;JAWA TIMUR;MADIUN;LELE;2020;2149900;32815350000;15263.66343
;JAWA TIMUR;MAGETAN;LELE;2020;1405050;21778275000;15500
;JAWA TIMUR;MALANG;LELE;2020;5458155;81872325000;15000
;JAWA TIMUR;MOJOKERTO;LELE;2020;1096910;17550560000;16000
;JAWA TIMUR;NGANJUK;LELE;2020;5280800;83253569516;15765.33281
;JAWA TIMUR;NGAWI;LELE;2020;2623465;41975440000;16000
;JAWA TIMUR;PACITAN;LELE;2020;378641;5858725650;15473.03554
;JAWA TIMUR;PAMEKASAN;LELE;2020;702046;12057761009;17175.17229
;JAWA TIMUR;PASURUAN;LELE;2020;3849912;60483571131;15710.37757
;JAWA TIMUR;PONOROGO;LELE;2020;1382115;22113840000;16000
;JAWA TIMUR;PROBOLINGGO;LELE;2020;710400;10835994997;15253.37134
;JAWA TIMUR;SAMPANG;LELE;2020;109866;1922655000;17500
;JAWA TIMUR;SIDOARJO;LELE;2020;20980645;335690320000;16000
;JAWA TIMUR;SITUBONDO;LELE;2020;210090;3403870000;16201.96106
;JAWA TIMUR;SUMENEP;LELE;2020;215706;3667002000;17000
;JAWA TIMUR;TRENGGALEK;LELE;2020;3538522;54847091000;15500
;JAWA TIMUR;TUBAN;LELE;2020;6240277;106084709000;17000
;JAWA TIMUR;TULUNGAGUNG;LELE;2020;11581154;178173090700;15384.7441
;JAWA BARAT;BANDUNG;LELE;2021;6787465;108599440000;16000
;JAWA BARAT;BANDUNG BARAT;LELE;2021;1977990;31647840000;16000
;JAWA BARAT;BEKASI;LELE;2021;2503797;47572143000;19000
;JAWA BARAT;BOGOR;LELE;2021;91357630;1644437340000;18000
;JAWA BARAT;CIAMIS;LELE;2021;4637317;60285121000;13000
;JAWA BARAT;CIANJUR;LELE;2021;15390000;246240000000;16000
;JAWA BARAT;CIREBON;LELE;2021;8500213;165677330000;19490.96217
;JAWA BARAT;GARUT;LELE;2021;6167610;123352200000;20000
;JAWA BARAT;INDRAMAYU;LELE;2021;74258785;1245306285000;16769.81767
;JAWA BARAT;KARAWANG;LELE;2021;774500;9294000000;12000
;JAWA BARAT;KOTA BANDUNG;LELE;2021;143956;2447252000;17000
;JAWA BARAT;KOTA BANJAR;LELE;2021;318545;4778175000;15000
;JAWA BARAT;KOTA BEKASI;LELE;2021;1250153;22502754000;18000
;JAWA BARAT;KOTA BOGOR;LELE;2021;2455170;42584840000;17344.96593
;JAWA BARAT;KOTA CIMAHI;LELE;2021;176126;3170268000;18000
;JAWA BARAT;KOTA CIREBON;LELE;2021;73340;1173440000;16000
;JAWA BARAT;KOTA DEPOK;LELE;2021;150101;3228081000;21506.05925
;JAWA BARAT;KOTA SUKABUMI;LELE;2021;713390;12841020000;18000
;JAWA BARAT;KOTA TASIKMALAYA;LELE;2021;1489551;17874612000;12000
;JAWA BARAT;KUNINGAN;LELE;2021;4467860;75953620000;17000
;JAWA BARAT;MAJALENGKA;LELE;2021;2538930;46185300000;18190.85205
;JAWA BARAT;PANGANDARAN;LELE;2021;30871;459674700;14890.17848
;JAWA BARAT;PURWAKARTA;LELE;2021;604280;9668480000;16000
;JAWA BARAT;SUBANG;LELE;2021;1844191;36883820000;20000
;JAWA BARAT;SUKABUMI;LELE;2021;11614161;186307562000;16041.41375
;JAWA BARAT;SUMEDANG;LELE;2021;479545;8676861165;18093.94565
;JAWA BARAT;TASIKMALAYA;LELE;2021;4400000;52800000000;12000
;JAWA TENGAH;BANJARNEGARA;LELE;2021;12713427;199413633500;15685.27774
;JAWA TENGAH;BANYUMAS;LELE;2021;3627523;61667891000;17000
;JAWA TENGAH;BATANG;LELE;2021;1266127;20891095500;16500
;JAWA TENGAH;BLORA;LELE;2021;773010;13141170000;17000
;JAWA TENGAH;BOYOLALI;LELE;2021;24695385;395126160000;16000
;JAWA TENGAH;BREBES;LELE;2021;2488072;44785296000;18000
;JAWA TENGAH;CILACAP;LELE;2021;2747434;47177580700;17171.50647
;JAWA TENGAH;DEMAK;LELE;2021;32504972;520079552000;16000
;JAWA TENGAH;GROBOGAN;LELE;2021;2344141;40426951500;17245.95555
;JAWA TENGAH;JEPARA;LELE;2021;3058473;48935568000;16000
;JAWA TENGAH;KARANGANYAR;LELE;2021;1601921;25231767500;15750.94371
;JAWA TENGAH;KEBUMEN;LELE;2021;1198799;19779037000;16499.04363
;JAWA TENGAH;KENDAL;LELE;2021;3058000;51986000000;17000
;JAWA TENGAH;KLATEN;LELE;2021;10925384;174806144000;16000
;JAWA TENGAH;KOTA MAGELANG;LELE;2021;37250;614625000;16500
;JAWA TENGAH;KOTA PEKALONGAN;LELE;2021;71150;1280700000;18000
;JAWA TENGAH;KOTA SALATIGA;LELE;2021;689719;11380363500;16500
;JAWA TENGAH;KOTA SEMARANG;LELE;2021;182735;3017701000;16514.08324
;JAWA TENGAH;KOTA SURAKARTA;LELE;2021;42017;714289000;17000
;JAWA TENGAH;KOTA TEGAL;LELE;2021;16575;281775000;17000
;JAWA TENGAH;KUDUS;LELE;2021;1726226;28976438000;16786.00485
;JAWA TENGAH;MAGELANG;LELE;2021;5728224;91651584000;16000
;JAWA TENGAH;PATI;LELE;2021;11635248;203616840000;17500
;JAWA TENGAH;PEKALONGAN;LELE;2021;1020377;17346409000;17000
;JAWA TENGAH;PEMALANG;LELE;2021;1960000;32823250000;16746.55612
;JAWA TENGAH;PURBALINGGA;LELE;2021;2590848;40158144000;15500
;JAWA TENGAH;PURWOREJO;LELE;2021;531491;8480034668;15955.18018
;JAWA TENGAH;REMBANG;LELE;2021;998002;17964036000;18000
;JAWA TENGAH;SEMARANG;LELE;2021;3139562;54259176000;17282.40309
;JAWA TENGAH;SRAGEN;LELE;2021;7306550;113214600000;15494.94632
;JAWA TENGAH;SUKOHARJO;LELE;2021;11217000;176750926500;15757.41522
;JAWA TENGAH;TEGAL;LELE;2021;722753;13009554000;18000
;JAWA TENGAH;TEMANGGUNG;LELE;2021;4744628;80658676000;17000
;JAWA TENGAH;WONOGIRI;LELE;2021;474553;7830124500;16500
;JAWA TENGAH;WONOSOBO;LELE;2021;3077867;38943834000;12652.86447
;JAWA TIMUR;BANGKALAN;LELE;2021;332800;5657600000;17000
;JAWA TIMUR;BANYUWANGI;LELE;2021;4857750;72866250000;15000
;JAWA TIMUR;BLITAR;LELE;2021;9923300;143809400000;14492.09436
;JAWA TIMUR;BOJONEGORO;LELE;2021;2927260;46836160000;16000
;JAWA TIMUR;BONDOWOSO;LELE;2021;662298;14570556000;22000
;JAWA TIMUR;GRESIK;LELE;2021;1214931;16841371200;13861.99809
;JAWA TIMUR;JEMBER;LELE;2021;8417268;152300220000;18093.78292
;JAWA TIMUR;JOMBANG;LELE;2021;7265900;116254400000;16000
;JAWA TIMUR;KEDIRI;LELE;2021;16279880;240196915000;14754.21901
;JAWA TIMUR;KOTA BATU;LELE;2021;24897;411741000;16537.77564
;JAWA TIMUR;KOTA BLITAR;LELE;2021;101250;1545600000;15265.18519
;JAWA TIMUR;KOTA KEDIRI;LELE;2021;149800;2352800003;15706.27505
;JAWA TIMUR;KOTA MADIUN;LELE;2021;177048;2832768000;16000
;JAWA TIMUR;KOTA MALANG;LELE;2021;126150;2207625000;17500
;JAWA TIMUR;KOTA MOJOKERTO;LELE;2021;185100;3097950000;16736.62885
;JAWA TIMUR;KOTA PASURUAN;LELE;2021;270611;4059165000;15000
;JAWA TIMUR;KOTA PROBOLINGGO;LELE;2021;207862;3228459903;15531.74656
;JAWA TIMUR;KOTA SURABAYA;LELE;2021;747485;13454730000;18000
;JAWA TIMUR;LAMONGAN;LELE;2021;2371362;36411710955;15354.76699
;JAWA TIMUR;LUMAJANG;LELE;2021;943855;14869047500;15753.52941
;JAWA TIMUR;MADIUN;LELE;2021;2315600;35891800000;15500
;JAWA TIMUR;MAGETAN;LELE;2021;1494100;23905600000;16000
;JAWA TIMUR;MALANG;LELE;2021;5530775;88492400000;16000
;JAWA TIMUR;MOJOKERTO;LELE;2021;626000;10016000000;16000
;JAWA TIMUR;NGANJUK;LELE;2021;9373650;147984014500;15787.23491
;JAWA TIMUR;NGAWI;LELE;2021;2756825;43448712500;15760.41733
;JAWA TIMUR;PACITAN;LELE;2021;441929;7512793000;17000
;JAWA TIMUR;PAMEKASAN;LELE;2021;523222;9048975600;17294.71544
;JAWA TIMUR;PASURUAN;LELE;2021;4289990;67752526800;15793.1666
;JAWA TIMUR;PONOROGO;LELE;2021;1594052;25504832000;16000
;JAWA TIMUR;PROBOLINGGO;LELE;2021;763110;11769569999;15423.16311
;JAWA TIMUR;SAMPANG;LELE;2021;123050;2214900000;18000
;JAWA TIMUR;SIDOARJO;LELE;2021;21534551;344552816000;16000
;JAWA TIMUR;SITUBONDO;LELE;2021;268104;4289664000;16000
;JAWA TIMUR;SUMENEP;LELE;2021;281860;4791620000;17000
;JAWA TIMUR;TRENGGALEK;LELE;2021;3582684;55531602000;15500
;JAWA TIMUR;TUBAN;LELE;2021;8161862;138751654000;17000
;JAWA TIMUR;TULUNGAGUNG;LELE;2021;10896660;169167813000;15524.73997
;JAWA BARAT;BANDUNG;LELE;2022;10814029;173024464000;16000
;JAWA BARAT;BANDUNG BARAT;LELE;2022;2345993;38931131000;16594.73451
;JAWA BARAT;BEKASI;LELE;2022;2754178;52329382000;19000
;JAWA BARAT;BOGOR;LELE;2022;95767076;2489943976000;26000
;JAWA BARAT;CIAMIS;LELE;2022;4386562;57025306000;13000
;JAWA BARAT;CIANJUR;LELE;2022;14761430;236182880000;16000
;JAWA BARAT;CIREBON;LELE;2022;2830540;56610800000;20000
;JAWA BARAT;GARUT;LELE;2022;6407870;115341660000;18000
;JAWA BARAT;INDRAMAYU;LELE;2022;93917550;1912034600000;20358.65075
;JAWA BARAT;KARAWANG;LELE;2022;800247;9602964000;12000
;JAWA BARAT;KOTA BANDUNG;LELE;2022;143439;2811912000;19603.53879
;JAWA BARAT;KOTA BANJAR;LELE;2022;317776;4766640000;15000
;JAWA BARAT;KOTA BEKASI;LELE;2022;1266142;22790556000;18000
;JAWA BARAT;KOTA BOGOR;LELE;2022;2422200;42748800000;17648.74907
;JAWA BARAT;KOTA CIMAHI;LELE;2022;239430;4549170000;19000
;JAWA BARAT;KOTA CIREBON;LELE;2022;72878;1188944000;16314.16888
;JAWA BARAT;KOTA DEPOK;LELE;2022;146750;4329470000;29502.35094
;JAWA BARAT;KOTA SUKABUMI;LELE;2022;717371;12912678000;18000
;JAWA BARAT;KOTA TASIKMALAYA;LELE;2022;1494499;17933988000;12000
;JAWA BARAT;KUNINGAN;LELE;2022;4850099;82451683000;17000
;JAWA BARAT;MAJALENGKA;LELE;2022;2823760;56475200000;20000
;JAWA BARAT;PANGANDARAN;LELE;2022;25172;407354150;16182.82814
;JAWA BARAT;PURWAKARTA;LELE;2022;802310;14047500000;17508.81829
;JAWA BARAT;SUBANG;LELE;2022;2464889;45814581000;18586.87389
;JAWA BARAT;SUKABUMI;LELE;2022;11720265;199244505000;17000
;JAWA BARAT;SUMEDANG;LELE;2022;279317;5168983634;18505.79676
;JAWA BARAT;TASIKMALAYA;LELE;2022;2625000;37080000000;14125.71429
;JAWA TENGAH;BANJARNEGARA;LELE;2022;12105519;222739224000;18399.80789
;JAWA TENGAH;BANYUMAS;LELE;2022;3755572;66235849000;17636.6873
;JAWA TENGAH;BATANG;LELE;2022;1341736;24700955000;18409.69833
;JAWA TENGAH;BLORA;LELE;2022;776915;13984470000;18000
;JAWA TENGAH;BOYOLALI;LELE;2022;30502055;581427768500;19061.92119
;JAWA TENGAH;BREBES;LELE;2022;4587641;97746364000;21306.45445
;JAWA TENGAH;CILACAP;LELE;2022;2531351;48708911000;19242.25878
;JAWA TENGAH;DEMAK;LELE;2022;39048401;624774416000;16000
;JAWA TENGAH;GROBOGAN;LELE;2022;2435969;44456001500;18249.82235
;JAWA TENGAH;JEPARA;LELE;2022;4849922;102551981000;21145.07842
;JAWA TENGAH;KARANGANYAR;LELE;2022;1634762;27806116000;17009.27474
;JAWA TENGAH;KEBUMEN;LELE;2022;1324138;23728422000;17919.9011
;JAWA TENGAH;KENDAL;LELE;2022;3177800;57174700000;17991.91264
;JAWA TENGAH;KLATEN;LELE;2022;11712686;187402976000;16000
;JAWA TENGAH;KOTA MAGELANG;LELE;2022;28700;492500000;17160.27875
;JAWA TENGAH;KOTA PEKALONGAN;LELE;2022;92495;1757405000;19000
;JAWA TENGAH;KOTA SALATIGA;LELE;2022;614975;11684525000;19000
;JAWA TENGAH;KOTA SEMARANG;LELE;2022;207764;3947516000;19000
;JAWA TENGAH;KOTA SURAKARTA;LELE;2022;41919;712623000;17000
;JAWA TENGAH;KOTA TEGAL;LELE;2022;16727;284359000;17000
;JAWA TENGAH;KUDUS;LELE;2022;1819297;35280906500;19392.60412
;JAWA TENGAH;MAGELANG;LELE;2022;4853204;82413516000;16981.25939
;JAWA TENGAH;PATI;LELE;2022;11462531;214689751000;18729.69862
;JAWA TENGAH;PEKALONGAN;LELE;2022;1076909;18307453000;17000
;JAWA TENGAH;PEMALANG;LELE;2022;1963290;33538883070;17083
;JAWA TENGAH;PURBALINGGA;LELE;2022;2225550;40616375000;18250.03932
;JAWA TENGAH;PURWOREJO;LELE;2022;546904;10001878682;18288.17979
;JAWA TENGAH;REMBANG;LELE;2022;989900;18764476000;18955.9309
;JAWA TENGAH;SEMARANG;LELE;2022;3281174;55779958000;17000
;JAWA TENGAH;SRAGEN;LELE;2022;8010100;152195520000;19000.45193
;JAWA TENGAH;SUKOHARJO;LELE;2022;11934850;196969935000;16503.76293
